incident_id,date,country,customer_type,tracking_number,carrier,category,description,status,customer_email,satisfaction_score
TRF-000034,2025-03-10,US,B2C,TRACK12345,UPS,DELAYED_DELIVERY,Package issue reported by customer,CLOSED,customer@example.com,1
TRF-000035,2025-03-10,US,B2B,TRACK12345,UPS,DELAYED_DELIVERY,Package issue reported by customer,CLOSED,customer@example.com,1
TRF-000036,2025-03-10,US,B2C,TRACK12345,UPS,DELAYED_DELIVERY,Package issue reported by customer,CLOSED,customer@example.com,2
TRF-000037,2025-03-10,US,B2B,TRACK12345,UPS,DELAYED_DELIVERY,Package issue reported by customer,CLOSED,customer@example.com,2
TRF-000038,2025-03-10,US,B2C,TRACK12345,UPS,DELAYED_DELIVERY,Package issue reported by customer,CLOSED,customer@example.com,2
TRF-000039,2025-03-10,US,B2B,TRACK12345,UPS,DELAYED_DELIVERY,Package issue reported by customer,CLOSED,customer@example.com,2
TRF-000040,2025-03-10,US,B2C,TRACK12345,UPS,DELAYED_DELIVERY,Package issue reported by customer,CLOSED,customer@example.com,2
TRF-000041,2025-03-10,US,B2B,TRACK12345,UPS,DELAYED_DELIVERY,Package issue reported by customer,CLOSED,customer@example.com,2
TRF-000042,2025-03-10,US,B2C,TRACK12345,UPS,DELAYED_DELIVERY,Package issue reported by customer,CLOSED,customer@example.com,2
TRF-000043,2025-03-10,US,B2B,TRACK12345,UPS,DELAYED_DELIVERY,Package issue reported by customer,CLOSED,customer@example.com,2
TRF-000044,2025-03-10,US,B2C,TRACK12345,UPS,DELAYED_DELIVERY,Package issue reported by customer,CLOSED,customer@example.com,2
TRF-000045,2025-03-10,US,B2B,TRACK12345,UPS,DELAYED_DELIVERY,Package issue reported by customer,CLOSED,customer@example.com,2
TRF-000046,2025-03-10,US,B2C,TRACK12345,UPS,DELAYED_DELIVERY,Package issue reported by customer,CLOSED,customer@example.com,2
TRF-000047,2025-03-10,US,B2B,TRACK12345,UPS,DELAYED_DELIVERY,Package issue reported by customer,CLOSED,customer@example.com,3
TRF-000048,2025-03-10,US,B2C,TRACK12345,UPS,DELAYED_DELIVERY,Package issue reported by customer,CLOSED,customer@example.com,3
TRF-000049,2025-03-10,US,B2B,TRACK12345,UPS,DELAYED_DELIVERY,Package issue reported by customer,CLOSED,customer@example.com,3
TRF-000050,2025-03-10,US,B2C,TRACK12345,UPS,DELAYED_DELIVERY,Package issue reported by customer,CLOSED,customer@example.com,3
TRF-000051,2025-03-10,ES,B2B,TRACK12345,MRW,DELAYED_DELIVERY,Package issue reported by customer,CLOSED,customer@example.com,3
TRF-000052,2025-03-10,ES,B2C,TRACK12345,MRW,DELAYED_DELIVERY,Package issue reported by customer,CLOSED,customer@example.com,3
TRF-000053,2025-03-10,ES,B2B,TRACK12345,MRW,WRONG_ADDRESS,Package issue reported by customer,CLOSED,customer@example.com,3
TRF-000054,2025-03-10,ES,B2C,TRACK12345,MRW,WRONG_ADDRESS,Package issue reported by customer,CLOSED,customer@example.com,3
TRF-000055,2025-03-10,ES,B2B,TRACK12345,MRW,WRONG_ADDRESS,Package issue reported by customer,CLOSED,customer@example.com,3
TRF-000056,2025-03-10,ES,B2C,TRACK12345,MRW,WRONG_ADDRESS,Package issue reported by customer,CLOSED,customer@example.com,3
TRF-000057,2025-03-10,ES,B2B,TRACK12345,MRW,WRONG_ADDRESS,Package issue reported by customer,CLOSED,customer@example.com,3
TRF-000058,2025-03-10,ES,B2C,TRACK12345,MRW,WRONG_ADDRESS,Package issue reported by customer,CLOSED,customer@example.com,3
TRF-000059,2025-03-10,ES,B2B,TRACK12345,MRW,WRONG_ADDRESS,Package issue reported by customer,CLOSED,customer@example.com,3
TRF-000060,2025-03-10,ES,B2C,TRACK12345,MRW,WRONG_ADDRESS,Package issue reported by customer,CLOSED,customer@example.com,3
TRF-000061,2025-03-10,ES,B2B,TRACK12345,MRW,WRONG_ADDRESS,Package issue reported by customer,CLOSED,customer@example.com,3
TRF-000062,2025-03-10,ES,B2C,TRACK12345,MRW,WRONG_ADDRESS,Package issue reported by customer,CLOSED,customer@example.com,4
TRF-000063,2025-03-10,ES,B2B,TRACK12345,MRW,WRONG_ADDRESS,Package issue reported by customer,CLOSED,customer@example.com,4
TRF-000064,2025-03-10,ES,B2C,TRACK12345,MRW,WRONG_ADDRESS,Package issue reported by customer,CLOSED,customer@example.com,4
TRF-000065,2025-03-10,ES,B2B,TRACK12345,MRW,WRONG_ADDRESS,Package issue reported by customer,CLOSED,customer@example.com,4
TRF-000066,2025-03-10,ES,B2C,TRACK12345,MRW,WRONG_ADDRESS,Package issue reported by customer,CLOSED,customer@example.com,4
TRF-000067,2025-03-10,ES,B2B,TRACK12345,MRW,WRONG_ADDRESS,Package issue reported by customer,CLOSED,customer@example.com,4
TRF-000068,2025-03-10,ES,B2C,TRACK12345,MRW,WRONG_ADDRESS,Package issue reported by customer,CLOSED,customer@example.com,4
TRF-000069,2025-03-10,ES,B2B,TRACK12345,MRW,WRONG_ADDRESS,Package issue reported by customer,CLOSED,customer@example.com,4
TRF-000070,2025-03-10,ES,B2C,TRACK12345,MRW,WRONG_ADDRESS,Package issue reported by customer,CLOSED,customer@example.com,4
TRF-000071,2025-03-10,ES,B2B,TRACK12345,MRW,WRONG_ADDRESS,Package issue reported by customer,CLOSED,customer@example.com,4
TRF-000072,2025-03-10,ES,B2C,TRACK12345,MRW,RETURN_REQUEST,Package issue reported by customer,CLOSED,customer@example.com,4
TRF-000073,2025-03-10,ES,B2B,TRACK12345,MRW,RETURN_REQUEST,Package issue reported by customer,CLOSED,customer@example.com,4
TRF-000074,2025-03-10,ES,B2C,TRACK12345,MRW,RETURN_REQUEST,Package issue reported by customer,CLOSED,customer@example.com,4
TRF-000075,2025-03-10,ES,B2B,TRACK12345,MRW,RETURN_REQUEST,Package issue reported by customer,CLOSED,customer@example.com,4
TRF-000076,2025-03-10,ES,B2C,TRACK12345,MRW,RETURN_REQUEST,Package issue reported by customer,CLOSED,customer@example.com,5
TRF-000077,2025-03-10,ES,B2B,TRACK12345,MRW,RETURN_REQUEST,Package issue reported by customer,CLOSED,customer@example.com,5
TRF-000078,2025-03-10,ES,B2C,TRACK12345,MRW,RETURN_REQUEST,Package issue reported by customer,CLOSED,customer@example.com,5
TRF-000079,2025-03-10,ES,B2B,TRACK12345,MRW,RETURN_REQUEST,Package issue reported by customer,CLOSED,customer@example.com,5
TRF-000080,2025-03-10,ES,B2C,TRACK12345,MRW,RETURN_REQUEST,Package issue reported by customer,CLOSED,customer@example.com,5
TRF-000081,2025-03-10,ES,B2B,TRACK12345,MRW,RETURN_REQUEST,Package issue reported by customer,CLOSED,customer@example.com,5
TRF-000082,2025-03-10,ES,B2C,TRACK12345,MRW,RETURN_REQUEST,Package issue reported by customer,DISCARDED,customer@example.com,
TRF-000083,2025-03-10,ES,B2B,TRACK12345,MRW,RETURN_REQUEST,Package issue reported by customer,DISCARDED,customer@example.com,
TRF-000084,2025-03-10,ES,B2C,TRACK12345,MRW,RETURN_REQUEST,Package issue reported by customer,DISCARDED,customer@example.com,
TRF-000085,2025-03-10,ES,B2B,TRACK12345,MRW,RETURN_REQUEST,Package issue reported by customer,DISCARDED,customer@example.com,
TRF-000086,2025-03-10,ES,B2C,TRACK12345,MRW,RETURN_REQUEST,Package issue reported by customer,DISCARDED,customer@example.com,
TRF-000087,2025-03-10,ES,B2B,TRACK12345,MRW,RETURN_REQUEST,Package issue reported by customer,DISCARDED,customer@example.com,
TRF-000088,2025-03-10,ES,B2C,TRACK12345,MRW,RETURN_REQUEST,Package issue reported by customer,DISCARDED,customer@example.com,
TRF-000089,2025-03-10,ES,B2B,TRACK12345,MRW,DAMAGE,Package issue reported by customer,DISCARDED,customer@example.com,
TRF-000090,2025-03-10,ES,B2C,TRACK12345,MRW,DAMAGE,Package issue reported by customer,DISCARDED,customer@example.com,
TRF-000091,2025-03-10,ES,B2B,TRACK12345,MRW,DAMAGE,Package issue reported by customer,DISCARDED,customer@example.com,
TRF-000092,2025-03-10,ES,B2C,TRACK12345,MRW,DAMAGE,Package issue reported by customer,DISCARDED,customer@example.com,
TRF-000093,2025-03-10,ES,B2B,TRACK12345,MRW,DAMAGE,Package issue reported by customer,DISCARDED,customer@example.com,
TRF-000094,2025-03-10,ES,B2C,TRACK12345,MRW,DAMAGE,Package issue reported by customer,DISCARDED,customer@example.com,
TRF-000095,2025-03-10,ES,B2B,TRACK12345,MRW,DAMAGE,Package issue reported by customer,DISCARDED,customer@example.com,
TRF-000096,2025-03-10,US,B2B,SHORT,UPS,LOST_PARCEL,Package issue reported by customer,OPEN,customer@example.com,
TRF-000097,2025-03-10,US,B2B,TRACK12345,MRW,LOST_PARCEL,Package issue reported by customer,OPEN,customer@example.com,
TRF-000098,2025-03-10,US,B2B,TRACK12345,UPS,INVALID_CATEGORY,Package issue reported by customer,OPEN,customer@example.com,
TRF-000099,2025-03-10,US,B2B,TRACK12345,UPS,LOST_PARCEL,Package issue reported by customer,OPEN,not-an-email,
TRF-000100,2025-03-10,US,B2B,TRACK12345,UPS,LOST_PARCEL,Package issue reported by customer,CLOSED,customer@example.com,
